Laps,Time,Cumulative Time,Distance,Avg Speed,Avg HR,Max HR,Total Ascent,Total Descent,Calories,Avg Temperature,Max Speed,Moving Time,Avg Moving Speed
1,03:55.1,03:55.1,1.61,24.6,116,125,9,86,22,29,31.7,3:48,25.4
2,03:23.4,07:18.5,1.61,28.5,107,112,2,7,15,28,33,03:23.4,28.5
3,03:37.6,10:56,1.61,26.6,112,131,8,1,17,28,32.7,3:37,26.7
4,03:21.4,14:17,1.61,28.8,110,116,2,3,15,29,41.6,3:21,28.8
5,02:27.8,16:45,1.61,39.2,104,116,1,1,9,30,41.7,02:27.8,39.2
6,06:16.8,23:02,1.61,15.4,109,115,3,14,25,30,40.9,5:21,18
7,04:37.6,27:40:00,1.61,20.9,122,134,7,10,26,29,43.8,4:06,23.6
8,10:16,37:56:00,1.61,9.4,104,125,6,12,34,29,42.2,9:51,9.8
9,03:24.1,41:20:00,1.61,28.4,108,117,8,2,12,28,32.6,3:24,28.4
10,04:43.6,46:03:00,1.61,20.4,106,113,5,10,16,29,32.1,4:18,22.5
11,06:30.1,52:34:00,1.61,14.9,100,112,15,4,18,31,32.5,06:30.1,14.9
12,02:31.6,55:05:00,1.61,38.2,106,113,0,1,8,32,40.6,2:31,38.4
13,03:03.2,58:08:00,1.61,31.6,106,117,1,5,10,33,42.2,3:02,31.8
14,03:00.2,1:01:09,1.61,32.2,106,117,8,2,10,32,40.8,03:00.2,32.2
15,08:37.8,1:09:46,1.61,11.2,100,115,8,13,24,32,34.5,7:00,13.8
16,14:28,1:24:14,1.61,6.7,95,112,15,15,38,29,37.2,11:45,8.2
17,04:17.7,1:28:32,1.61,22.5,102,109,14,6,14,28,32.4,4:16,22.6
18,04:19.7,1:32:52,1.61,22.3,97,108,10,11,12,28,30.7,4:14,22.8
19,05:40.2,1:38:32,1.61,17,103,116,7,10,19,29,42.3,4:17,22.5
20,02:25.8,1:40:58,1.61,39.7,108,121,0,0,9,29,43,02:25.8,39.7
21,06:22.8,1:47:20,0.84,7.9,107,118,9,6,23,29,41,2:32,19.9
Summary,1:47:20,1:47:20,33.03,18.5,105,134,138,220,376,29.5,43.8,1:35:10,20.8
