time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","GPS Satellites","GPS HAcc"
"2023-03-07 07:52:56.599","2023-03-07 07:52:56.822",29.541469,34.948042,155.29,0.03613355,155.29,,,175.78,-44.46,7,0.9468
"2023-03-07 07:52:57.599","2023-03-07 07:52:57.792",29.541472,34.948040,175.53,0.02956622,175.53,,,22.28,-123.44,7,0.8896
"2023-03-07 07:52:58.599","2023-03-07 07:52:58.824",29.541474,34.948039,329.34,0.02227306,329.34,,,-0.88,-134.02,7,0.8369
"2023-03-07 07:52:59.599","2023-03-07 07:52:59.774",29.541475,34.948037,63.35,0.02954475,63.35,,,-28.6,-112.66,7,0.7969
"2023-03-07 07:53:00.599","2023-03-07 07:53:01.161",29.541475,34.948035,346.68,0.05507607,346.68,,,-12.02,-126.92,9,0.7656
"2023-03-07 07:53:01.399","2023-03-07 07:53:01.843",29.541474,34.948034,353.03,0.07156525,353.03,,,-6.16,-128.98,9,0.7466
"2023-03-07 07:53:02.499","2023-03-07 07:53:02.781",29.541474,34.948032,355.07,0.02267159,355.07,,,-10.58,-130.2,9,0.7207
"2023-03-07 07:53:03.499","2023-03-07 07:53:03.872",29.541475,34.948028,356.48,0.02154869,356.48,,,-11.4,-131.21,9,0.6909
"2023-03-07 07:53:04.499","2023-03-07 07:53:04.824",29.541477,34.948023,358.02,0.02329359,358.02,,,-5.26,-127.75,9,0.6597
"2023-03-07 07:53:05.499","2023-03-07 07:53:05.813",29.541479,34.948018,348.91,0.04071659,348.91,,,-1.69,-130.73,9,0.6348
"2023-03-07 07:53:06.499","2023-03-07 07:53:06.815",29.541479,34.948016,343.37,0.01879407,343.37,,,5.05,-130.85,9,0.6138
"2023-03-07 07:53:07.499","2023-03-07 07:53:07.814",29.541480,34.948014,331.64,0.07560395,331.64,,,10.78,-124.33,9,0.605
