time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","Time to Gun","GPS Satellites","GPS HAcc"
"2022-07-10 09:48:39.7","2022-07-10 17:10:12.753",32.832671,34.987878,42.86,0.08251429,42.86,,,-1.12,-19.34,,5,13.71
"2022-07-10 09:48:40.7","2022-07-10 17:10:12.753",32.832657,34.987860,42.42,0.0554046,42.42,,,-1.08,-19.36,,5,10.29
"2022-07-10 09:48:41.6","2022-07-10 17:10:12.753",32.832662,34.987853,42.13,0.04474011,42.16,,,-1.07,-19.36,,5,8.578
"2022-07-10 09:48:42.7","2022-07-10 17:10:12.753",32.832667,34.987840,41.68,0.07699411,41.68,,,-1.08,-19.38,,5,7.711
"2022-07-10 09:48:43.7","2022-07-10 17:10:12.754",32.832667,34.987828,41.06,0.04925756,41.06,,,-1.08,-19.38,,5,7.039
"2022-07-10 09:48:44.7","2022-07-10 17:10:12.754",32.832678,34.987831,40.55,0.06808285,40.55,,,-1.41,-19.42,,5,6.434
"2022-07-10 09:48:45.7","2022-07-10 17:10:12.754",32.832682,34.987835,37.28,0.153416,37.28,,,8.36,59.05,,6,5.914
"2022-07-10 09:48:46.7","2022-07-10 17:10:12.754",32.832686,34.987846,2.11,0.2966342,2.11,,,1.81,3.23,,5,5.586
"2022-07-10 09:48:47.8","2022-07-10 17:10:12.755",32.832681,34.987864,351.56,0.1929948,351.56,,,1.38,2.56,,6,5.359
"2022-07-10 09:48:48.7","2022-07-10 17:10:12.755",32.832679,34.987889,59.95,0.1001986,54.07,,,-17.34,-6.57,,6,5.145
"2022-07-10 09:48:49.8","2022-07-10 17:10:12.755",32.832684,34.987913,93.22,0.6102515,315.57,,,3.47,-0.23,,5,4.891
"2022-07-10 09:48:50.8","2022-07-10 17:10:12.755",32.832682,34.987923,93.14,0.5143645,93.14,,,6.77,-1.75,,5,4.719
"2022-07-10 09:48:51.8","2022-07-10 17:10:12.756",32.832681,34.987931,96.55,0.2454417,96.55,,,5.16,-1.77,,5,4.609
"2022-07-10 09:48:52.8","2022-07-10 17:10:12.756",32.832676,34.987935,91.49,0.2430425,91.49,,,4.47,-2.69,,5,4.496
"2022-07-10 09:48:53.8","2022-07-10 17:10:12.756",32.832663,34.987939,111.72,0.1836495,111.72,,,2.98,7.31,,6,4.344
"2022-07-10 09:48:54.8","2022-07-10 17:10:12.757",32.832653,34.987941,133.5,0.1580012,133.5,,,5.14,3.57,,6,4.156
"2022-07-10 09:48:55.8","2022-07-10 17:10:12.757",32.832644,34.987942,118.45,0.1887797,118.45,,,6.66,0.9,,6,4.07
"2022-07-10 09:48:56.8","2022-07-10 17:10:12.757",32.832639,34.987942,113.23,0.1002789,113.23,,,11.78,-0.67,,5,4.031
"2022-07-10 09:48:57.8","2022-07-10 17:10:12.758",32.832635,34.987942,118.28,0.076901,118.28,,,4.02,1.83,,5,3.934
"2022-07-10 09:48:58.8","2022-07-10 17:10:12.758",32.832629,34.987940,126.13,0.1017142,126.13,,,11.78,2.03,,6,3.855
"2022-07-10 09:48:59.7","2022-07-10 17:10:12.758",32.832622,34.987936,117.67,0.1188254,118.59,,,10.57,0.21,,6,3.799
"2022-07-10 09:49:00.8","2022-07-10 17:10:12.758",32.832616,34.987936,115.31,0.07245556,115.31,,,-6.92,-13.57,,6,3.736
"2022-07-10 09:49:01.8","2022-07-10 17:10:12.759",32.832608,34.987936,100.96,0.1553673,100.96,,,16.19,-16.74,,6,3.621
"2022-07-10 09:49:02.8","2022-07-10 17:10:12.76",32.832601,34.987939,90.16,0.1431907,90.16,,,25.48,-9.14,,6,3.545
"2022-07-10 09:49:03.8","2022-07-10 17:10:12.76",32.832598,34.987939,72.29,0.1475701,72.29,,,22.46,-7.8,,6,3.502
"2022-07-10 09:49:04.7","2022-07-10 17:10:12.76",32.832598,34.987940,76.57,0.04995448,76.36,,,15.26,-4.46,,6,3.506
"2022-07-10 09:49:05.8","2022-07-10 17:10:12.761",32.832597,34.987940,79.02,0.06234249,79.02,,,14.35,-3.61,,6,3.502
"2022-07-10 09:49:06.7","2022-07-10 17:10:12.761",32.832597,34.987941,78.36,0.082175,79.28,,,15.14,-11.95,,7,3.332
"2022-07-10 09:49:07.8","2022-07-10 17:10:12.762",32.832597,34.987941,73.64,0.05463031,73.64,,,13.9,-14.44,,7,3.193
"2022-07-10 09:49:08.8","2022-07-10 17:10:12.762",32.832596,34.987941,75.54,0.08137567,75.54,,,19.3,-21.62,,7,3.119
"2022-07-10 09:49:09.8","2022-07-10 17:10:12.762",32.832598,34.987942,65.77,0.08107164,65.77,,,22.9,-26.58,,8,3.035
"2022-07-10 09:49:10.8","2022-07-10 17:10:12.763",32.832597,34.987942,65.34,0.1141185,65.34,,,6.8,-19.46,,8,2.936
"2022-07-10 09:49:11.8","2022-07-10 17:10:12.763",32.832598,34.987942,80.15,0.07368042,80.15,,,8.31,-15.03,,8,2.797
"2022-07-10 09:49:12.8","2022-07-10 17:10:12.764",32.832597,34.987943,72.78,0.05783121,72.78,,,15.08,-16.74,,8,2.693
