time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","AWS - App. Wind Speed","TWS - True Wind Speed","AWA - App. Wind Angle","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","GPS Satellites","GPS HAcc"
"2023-03-07 08:20:11.1","2023-03-07 11:16:16.495",29.549298,34.962139,94.86,0.01570404,94.85,,,,,,12.02,-31.17,5,19.53
"2023-03-07 08:20:12.1","2023-03-07 11:16:16.495",29.549299,34.962144,94.91,0.04495444,94.89,,,,,,12.01,-31.16,5,18.77
"2023-03-07 08:20:13.1","2023-03-07 11:16:16.496",29.549299,34.962149,94.89,0.03977578,94.9,,,,,,12.02,-31.16,5,18.02
"2023-03-07 08:20:14.1","2023-03-07 11:16:16.496",29.549300,34.962154,94.85,0.07890499,94.83,,,,,,12,-31.17,5,17.36
"2023-03-07 08:20:15.1","2023-03-07 11:16:16.497",29.549301,34.962159,94.92,0.1160244,94.92,,,,,,12.01,-31.14,5,16.78
"2023-03-07 08:20:16.1","2023-03-07 11:16:16.497",29.549302,34.962162,94.99,0.03010218,94.99,,,,,,12.02,-31.16,5,16.34
"2023-03-07 08:20:17.1","2023-03-07 11:16:16.497",29.549303,34.962164,95.05,0.03902064,95.05,,,,,,12.01,-31.17,5,15.95
"2023-03-07 08:20:18.1","2023-03-07 11:16:16.497",29.549303,34.962165,95.05,0.04627291,95.03,,,,,,11.99,-31.18,5,15.57
"2023-03-07 08:20:19.1","2023-03-07 11:16:16.498",29.549303,34.962166,95.07,0.03437614,95.09,,,,,,12.01,-31.18,5,15.16
"2023-03-07 08:20:20.1","2023-03-07 11:16:16.504",29.549304,34.962171,94.83,0.03977755,94.84,,,,,,12.01,-31.16,5,14.73
"2023-03-07 08:20:21.1","2023-03-07 11:16:16.505",29.549304,34.962175,94.78,0.05334045,94.78,,,,,,12.01,-31.17,5,14.38
"2023-03-07 08:20:22.1","2023-03-07 11:16:16.506",29.549305,34.962179,94.86,0.0652791,94.86,,,,,,12.01,-31.18,5,14.11
"2023-03-07 08:20:23.1","2023-03-07 11:16:16.506",29.549306,34.962185,94.81,0.02779095,94.81,,,,,,12.04,-31.16,5,13.8
