time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","GPS Satellites","GPS HAcc"
"2022-12-18 05:50:19.999","2022-12-18 05:50:19.999",32.489326,34.890347,312.3,0.05490446,312.75,,,-10.99,-48.89,11,1.462
"2022-12-18 05:50:20.999","2022-12-18 05:50:20.999",32.489326,34.890348,302.88,0.05178653,303.5,,,-15.61,-47.91,10,1.423
"2022-12-18 05:50:21.999","2022-12-18 05:50:21.999",32.489326,34.890349,294.32,0.03592356,295.08,,,-12.77,-53.54,10,1.365
"2022-12-18 05:50:22.999","2022-12-18 05:50:22.999",32.489326,34.890349,294.83,0.03008757,294.88,,,-12.65,-56.55,12,1.323
"2022-12-18 05:50:23.999","2022-12-18 05:50:23.999",32.489326,34.890349,293.77,0.0371337,293.93,,,-13.01,-57.72,11,1.28
"2022-12-18 05:50:24.999","2022-12-18 05:50:24.999",32.489328,34.890346,292.96,0.03392991,292.95,,,-12.6,-58.44,13,1.254
"2022-12-18 05:50:25.999","2022-12-18 05:50:25.999",32.489329,34.890345,294.55,0.04607121,294.29,,,-10.92,-55.99,13,1.222
"2022-12-18 05:50:26.999","2022-12-18 05:50:26.999",32.489332,34.890342,295.48,0.07468186,295.37,,,-10.35,-57.33,12,1.193
"2022-12-18 05:50:27.999","2022-12-18 05:50:27.999",32.489336,34.890340,294.33,0.1584242,293.63,,,-29.44,-36.49,12,1.146
"2022-12-18 05:50:28.999","2022-12-18 05:50:28.999",32.489337,34.890339,308.27,0.09974389,309.14,,,-31.07,-31.77,11,1.108
"2022-12-18 05:50:29.999","2022-12-18 05:50:29.999",32.489337,34.890338,310.47,0.08535429,315.45,,,8.49,-55.63,10,1.081
"2022-12-18 05:50:30.999","2022-12-18 05:50:30.999",32.489337,34.890338,277.64,0.05833575,278.68,,,6.11,-60.61,10,1.061
"2022-12-18 05:50:31.999","2022-12-18 05:50:31.999",32.489336,34.890339,278.85,0.03489918,278.25,,,1.4,-55.64,12,1.038
"2022-12-18 05:50:32.999","2022-12-18 05:50:32.999",32.489337,34.890338,277.04,0.06809184,277.57,,,-4.49,-56.21,11,1.034
"2022-12-18 05:50:33.999","2022-12-18 05:50:33.999",32.489337,34.890337,276.71,0.0450655,276.47,,,-1.04,-54.67,12,1.019
"2022-12-18 05:50:34.999","2022-12-18 05:50:34.999",32.489336,34.890337,279.95,0.03835208,278.01,,,-42.95,-33.94,11,1.004
"2022-12-18 05:50:35.999","2022-12-18 05:50:35.999",32.489335,34.890337,312.46,0.134116,311.86,,,-45.33,-21.33,10,0.9966
"2022-12-18 05:50:36.999","2022-12-18 05:50:36.999",32.489334,34.890338,314.23,0.07552592,315.88,,,0.67,-49.78,11,0.98
"2022-12-18 05:50:37.999","2022-12-18 05:50:37.999",32.489332,34.890339,285.21,0.123205,285.35,,,-7.46,-46.7,11,0.9648
"2022-12-18 05:50:38.999","2022-12-18 05:50:38.999",32.489330,34.890339,285.28,0.08392733,286.38,,,-14.56,-38.44,11,0.96
"2022-12-18 05:50:39.999","2022-12-18 05:50:39.999",32.489328,34.890341,292.23,0.08951033,289.04,,,-69.86,-12.11,12,0.9575
"2022-12-18 05:50:40.999","2022-12-18 05:50:40.999",32.489328,34.890340,307.7,0.10309,307.53,,,-89.65,-5.38,13,0.9526
"2022-12-18 05:50:41.999","2022-12-18 05:50:41.999",32.489327,34.890339,316.17,0.05399958,314.82,,,-128.07,-15.44,11,0.9556
"2022-12-18 05:50:42.999","2022-12-18 05:50:42.999",32.489326,34.890339,323.69,0.08114462,322.9,,,-143.12,-25.51,13,0.9629
"2022-12-18 05:50:43.999","2022-12-18 05:50:43.999",32.489327,34.890339,317.82,0.1095349,320.18,,,-97.95,-34.66,13,0.9639
"2022-12-18 05:50:44.999","2022-12-18 05:50:44.999",32.489326,34.890339,319.45,0.1096228,317.67,,,-102.7,-36.35,11,0.9639
"2022-12-18 05:50:45.999","2022-12-18 05:50:45.999",32.489325,34.890338,273.26,0.1186211,284.41,,,-22.36,-66.21,14,0.9565
"2022-12-18 05:50:46.999","2022-12-18 05:50:46.999",32.489325,34.890337,229.36,0.1470545,231.87,,,5.33,-61.93,12,0.9448
"2022-12-18 05:50:47.999","2022-12-18 05:50:47.999",32.489324,34.890338,207.68,0.1162695,206.73,,,-35.85,-38.88,12,0.9326
"2022-12-18 05:50:48.999","2022-12-18 05:50:48.999",32.489321,34.890339,228.11,0.2154027,230.19,,,-19.94,-52.86,13,0.9155
"2022-12-18 05:50:49.999","2022-12-18 05:50:49.999",32.489319,34.890341,191.51,0.07199761,191.84,,,-1.76,-49.6,10,0.9067
"2022-12-18 05:50:50.999","2022-12-18 05:50:50.999",32.489319,34.890341,190.81,0.05531023,191.15,,,-6.49,-51.24,11,0.9087
"2022-12-18 05:50:51.799","2022-12-18 05:50:51.799",32.489318,34.890343,189.47,0.03795216,190.04,,,2.99,-49.43,13,0.9058
"2022-12-18 05:50:52.999","2022-12-18 05:50:52.999",32.489315,34.890346,180.55,0.1187141,181.75,,,6.22,-48.26,11,0.9019
"2022-12-18 05:50:53.999","2022-12-18 05:50:53.999",32.489314,34.890347,183.42,0.07121715,183.26,,,8.73,-28.98,12,0.897
"2022-12-18 05:50:54.999","2022-12-18 05:50:54.999",32.489312,34.890349,156.32,0.06245097,157.91,,,7.81,-32.08,12,0.8857
"2022-12-18 05:50:55.899","2022-12-18 05:50:55.899",32.489310,34.890350,163.09,0.03873774,159.36,,,-2.63,-54.9,11,0.8735
"2022-12-18 05:50:56.999","2022-12-18 05:50:56.999",32.489308,34.890351,181.62,0.08313898,181.88,,,-26.07,-66.41,12,0.8638
"2022-12-18 05:50:57.999","2022-12-18 05:50:57.999",32.489307,34.890351,178.43,0.09235324,177.47,,,-3.34,-62.82,11,0.8569
"2022-12-18 05:50:58.999","2022-12-18 05:50:58.999",32.489302,34.890352,199.43,0.2433631,198.28,,,-4.76,-56.25,11,0.855
"2022-12-18 05:50:59.999","2022-12-18 05:50:59.999",32.489298,34.890351,204.13,0.7051324,180.16,,,-11,-61.29,10,0.8516
