time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","Time to Gun","GPS Satellites","GPS HAcc"
"2023-03-07 08:21:20.599","2023-03-07 11:22:01.561",29.549381,34.961873,123.5,0.279718,123.5,,,0.46,-1.18,,10,12.82
"2023-03-07 08:21:21.599","2023-03-07 11:22:01.561",29.549373,34.961840,123.3,0.1880805,123.3,,,0.48,-0.98,,9,10.05
"2023-03-07 08:21:22.599","2023-03-07 11:22:01.561",29.549367,34.961821,123.03,0.111569,123.03,,,0.51,-0.92,,10,8.602
"2023-03-07 08:21:23.599","2023-03-07 11:22:01.561",29.549365,34.961805,122.55,0.1962953,122.55,,,0,0,,10,7.582
"2023-03-07 08:21:24.499","2023-03-07 11:22:01.562",29.549366,34.961802,122.57,0.08186667,122.57,,,-0.01,0.01,,10,6.969
"2023-03-07 08:21:25.499","2023-03-07 11:22:01.562",29.549369,34.961801,122.73,0.1704175,122.72,,,-0.04,0,,11,6.461
"2023-03-07 08:21:26.599","2023-03-07 11:22:01.562",29.549372,34.961802,122.82,0.1643124,122.82,,,-0.05,0.01,,11,6.07
"2023-03-07 08:21:27.599","2023-03-07 11:22:01.562",29.549372,34.961807,122.92,0.1670859,122.92,,,-0.08,-0.01,,11,5.824
"2023-03-07 08:21:28.599","2023-03-07 11:22:01.563",29.549375,34.961813,122.92,0.2018207,122.92,,,-0.09,-0.03,,11,5.555
"2023-03-07 08:21:29.599","2023-03-07 11:22:01.563",29.549376,34.961817,122.67,0.1177448,122.67,,,-0.1,-0.01,,11,5.266
"2023-03-07 08:21:30.599","2023-03-07 11:22:01.563",29.549376,34.961819,122.67,0.07820824,122.67,,,-0.14,-0.04,,11,5
"2023-03-07 08:21:31.599","2023-03-07 11:22:01.563",29.549376,34.961819,122.46,0.1744747,122.46,,,-0.12,-0.03,,11,4.781
"2023-03-07 08:21:32.599","2023-03-07 11:22:01.563",29.549376,34.961820,122.27,0.07189708,122.27,,,-0.12,-0.03,,12,4.598
"2023-03-07 08:21:33.599","2023-03-07 11:22:01.564",29.549376,34.961821,122.51,0.06250345,122.51,,,-0.12,-0.02,,11,4.449
"2023-03-07 08:21:34.599","2023-03-07 11:22:01.564",29.549375,34.961823,122.57,0.07034919,122.57,,,-0.12,-0.01,,13,4.297
"2023-03-07 08:21:35.599","2023-03-07 11:22:01.575",29.549375,34.961823,122.44,0.08318831,122.44,,,-0.1,-0.03,,13,4.141
"2023-03-07 08:21:36.599","2023-03-07 11:22:01.575",29.549374,34.961823,122.28,0.05262144,122.28,,,-0.1,-0.03,,13,3.994
"2023-03-07 08:21:37.599","2023-03-07 11:22:01.575",29.549374,34.961821,122.55,0.05336535,122.55,,,-0.12,-0.04,,12,3.871
"2023-03-07 08:21:38.599","2023-03-07 11:22:01.576",29.549373,34.961820,122.41,0.04123086,122.41,,,-0.14,-0.05,,14,3.76
"2023-03-07 08:21:39.599","2023-03-07 11:22:01.576",29.549371,34.961817,122.45,0.04798793,122.45,,,-0.13,-0.05,,14,3.639
"2023-03-07 08:21:40.599","2023-03-07 11:22:01.576",29.549370,34.961815,122.51,0.05446134,122.51,,,-0.13,-0.03,,14,3.531
"2023-03-07 08:21:41.599","2023-03-07 11:22:01.576",29.549369,34.961813,122.44,0.07044157,122.44,,,-0.15,-0.03,,13,3.439
"2023-03-07 08:21:42.599","2023-03-07 11:22:01.576",29.549369,34.961810,122.34,0.04146601,122.34,,,-0.13,-0.01,,14,3.352
"2023-03-07 08:21:43.599","2023-03-07 11:22:01.577",29.549368,34.961808,122.46,0.03743451,122.46,,,-0.1,-0.02,,14,3.266
"2023-03-07 08:21:44.599","2023-03-07 11:22:01.577",29.549368,34.961805,122.47,0.05403575,122.47,,,-0.12,-0.03,,14,3.191
"2023-03-07 08:21:45.599","2023-03-07 11:22:01.577",29.549367,34.961802,122.56,0.06579711,122.56,,,-0.13,-0.05,,14,3.129
"2023-03-07 08:21:46.599","2023-03-07 11:22:01.577",29.549367,34.961800,122.7,0.04943285,122.7,,,-0.12,-0.04,,14,3.066
"2023-03-07 08:21:47.599","2023-03-07 11:22:01.577",29.549367,34.961798,122.63,0.0287862,122.63,,,-0.11,-0.02,,13,3.014
"2023-03-07 08:21:48.599","2023-03-07 11:22:01.578",29.549366,34.961797,122.58,0.07345284,122.58,,,-0.11,-0.02,,13,2.967
"2023-03-07 08:21:49.599","2023-03-07 11:22:01.578",29.549366,34.961795,122.39,0.1052422,122.39,,,-0.1,-0.02,,13,2.918
"2023-03-07 08:21:50.599","2023-03-07 11:22:01.578",29.549366,34.961793,122.53,0.0537141,122.53,,,-0.11,-0.02,,14,2.879
"2023-03-07 08:21:51.599","2023-03-07 11:22:01.578",29.549366,34.961792,122.62,0.1053762,122.62,,,-0.09,-0.02,,14,2.836
"2023-03-07 08:21:52.599","2023-03-07 11:22:01.578",29.549365,34.961791,122.53,0.04702442,122.53,,,-0.09,-0.02,,13,2.795
"2023-03-07 08:21:53.599","2023-03-07 11:22:01.579",29.549364,34.961790,122.6,0.04189957,122.6,,,-0.1,-0.03,,13,2.754
"2023-03-07 08:21:54.599","2023-03-07 11:22:01.579",29.549364,34.961789,122.68,0.05504965,122.68,,,-0.11,-0.04,,13,2.715
"2023-03-07 08:21:55.599","2023-03-07 11:22:01.579",29.549364,34.961788,122.51,0.03981037,122.51,,,-0.11,-0.05,,14,2.66
"2023-03-07 08:21:56.599","2023-03-07 11:22:01.579",29.549364,34.961787,122.4,0.04832811,122.4,,,-0.1,-0.02,,15,2.604
"2023-03-07 08:21:57.599","2023-03-07 11:22:01.579",29.549363,34.961786,122.44,0.04311516,122.44,,,-0.11,-0.04,,15,2.549
"2023-03-07 08:21:58.599","2023-03-07 11:22:01.58",29.549363,34.961784,122.49,0.02983657,122.49,,,-0.13,-0.07,,15,2.498
"2023-03-07 08:21:59.599","2023-03-07 11:22:01.58",29.549363,34.961782,122.29,0.04115031,122.29,,,-0.12,-0.04,,15,2.451
"2023-03-07 08:22:00.599","2023-03-07 11:22:01.58",29.549363,34.961780,122.44,0.04943684,122.44,,,-0.14,-0.05,,15,2.404
"2023-03-07 08:22:01.599","2023-03-07 11:22:01.58",29.549363,34.961779,122.49,0.03623036,122.49,,,-0.14,-0.05,,15,2.363
"2023-03-07 08:22:02.399","2023-03-07 11:22:01.58",29.549363,34.961777,122.5,0.03559452,122.49,,,-0.14,-0.05,,14,2.33
"2023-03-07 08:22:03.599","2023-03-07 11:22:01.581",29.549362,34.961776,122.63,0.04371223,122.63,,,-0.11,-0.05,,14,2.305
"2023-03-07 08:22:04.599","2023-03-07 11:22:01.581",29.549361,34.961778,122.6,0.0882038,122.6,,,-0.11,-0.05,,16,2.256
"2023-03-07 08:22:05.599","2023-03-07 11:22:01.581",29.549360,34.961780,122.67,0.0473936,122.67,,,-0.12,-0.04,,15,2.186
"2023-03-07 08:22:06.499","2023-03-07 11:22:01.581",29.549359,34.961781,122.58,0.04983457,122.58,,,-0.14,-0.04,,14,2.152
"2023-03-07 08:22:07.599","2023-03-07 11:22:01.582",29.549358,34.961783,122.59,0.04186458,122.59,,,-0.14,-0.05,,14,2.121
"2023-03-07 08:22:08.599","2023-03-07 11:22:01.582",29.549357,34.961786,122.56,0.03909983,122.56,,,-0.14,-0.05,,14,2.086
"2023-03-07 08:22:09.599","2023-03-07 11:22:01.582",29.549356,34.961788,122.62,0.04144984,122.62,,,-0.14,-0.04,,14,2.047
"2023-03-07 08:22:10.599","2023-03-07 11:22:01.582",29.549356,34.961790,122.68,0.03503294,122.68,,,-0.14,-0.05,,15,2.006
"2023-03-07 08:22:11.599","2023-03-07 11:22:01.583",29.549355,34.961791,122.69,0.04903132,122.69,,,-0.12,-0.05,,15,1.985
"2023-03-07 08:22:12.499","2023-03-07 11:22:01.583",29.549355,34.961792,122.74,0.04535691,122.74,,,-0.12,-0.05,,15,1.971
"2023-03-07 08:22:13.599","2023-03-07 11:22:01.583",29.549355,34.961793,122.78,0.05215208,122.78,,,-0.13,-0.03,,15,1.947
"2023-03-07 08:22:14.599","2023-03-07 11:22:01.583",29.549355,34.961793,122.51,0.03714292,122.51,,,-0.13,-0.05,,15,1.919
"2023-03-07 08:22:15.599","2023-03-07 11:22:01.583",29.549355,34.961793,122.4,0.04328818,122.4,,,-0.13,-0.05,,15,1.893
"2023-03-07 08:22:16.599","2023-03-07 11:22:01.584",29.549355,34.961792,122.6,0.03583254,122.6,,,-0.14,-0.04,,15,1.868
"2023-03-07 08:22:17.599","2023-03-07 11:22:01.584",29.549355,34.961792,122.66,0.03732556,122.66,,,-0.11,-0.03,,15,1.847
"2023-03-07 08:22:18.599","2023-03-07 11:22:01.584",29.549355,34.961792,122.58,0.02554213,122.58,,,-0.14,-0.05,,14,1.829
"2023-03-07 08:22:19.599","2023-03-07 11:22:01.584",29.549355,34.961791,122.7,0.04141123,122.7,,,-0.14,-0.05,,16,1.81
"2023-03-07 08:22:20.599","2023-03-07 11:22:01.584",29.549355,34.961791,122.62,0.04850911,122.62,,,-0.15,-0.05,,16,1.79
"2023-03-07 08:22:21.599","2023-03-07 11:22:01.584",29.549355,34.961791,122.55,0.04589121,122.55,,,-0.16,-0.03,,16,1.772
"2023-03-07 08:22:22.599","2023-03-07 11:22:01.585",29.549355,34.961790,122.52,0.03601886,122.52,,,-0.14,-0.05,,16,1.757
"2023-03-07 08:22:23.599","2023-03-07 11:22:01.585",29.549355,34.961790,122.92,0.04944142,122.92,,,-0.14,-0.07,,16,1.742
"2023-03-07 08:22:24.599","2023-03-07 11:22:01.585",29.549356,34.961789,123.14,0.0889654,123.14,,,-0.14,-0.07,,16,1.73
"2023-03-07 08:22:25.599","2023-03-07 11:22:01.585",29.549356,34.961789,123.04,0.0961451,123.04,,,-0.16,-0.05,,16,1.72
"2023-03-07 08:22:26.599","2023-03-07 11:22:01.585",29.549356,34.961788,122.84,0.06591173,122.84,,,-0.16,-0.04,,16,1.711
