time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","GPS Satellites","GPS HAcc"
"2023-03-07 07:11:56","2023-03-07 12:59:55.795",29.541150,34.947740,99.54,0.09245858,99.54,,,12.11,-47.21,4,8.828
"2023-03-07 07:11:57","2023-03-07 12:59:55.796",29.541151,34.947742,96.28,0.0796251,96.28,,,11.76,-46.52,4,7.379
"2023-03-07 07:11:58","2023-03-07 12:59:55.796",29.541151,34.947744,85.64,0.06133142,85.64,,,11.28,-44.68,4,6.473
"2023-03-07 07:11:59","2023-03-07 12:59:55.796",29.541152,34.947744,73.47,0.12,73.47,,,10.78,-44.01,5,5.707
"2023-03-07 07:12:00","2023-03-07 12:59:55.797",29.541153,34.947744,70.45,0.1316302,70.45,,,10.58,-43.47,5,5.305
"2023-03-07 07:12:01","2023-03-07 12:59:55.797",29.541155,34.947734,67.27,0.1172167,67.27,,,10.13,-43.02,6,4.102
"2023-03-07 07:12:02","2023-03-07 12:59:55.797",29.541156,34.947732,64.1,0.05631901,64.1,,,9.68,-42.53,6,3.68
"2023-03-07 07:12:03","2023-03-07 12:59:55.797",29.541156,34.947732,61.06,0.03512406,61.06,,,9.39,-41.94,7,3.342
"2023-03-07 07:12:04","2023-03-07 12:59:55.798",29.541156,34.947733,58.03,0.03484228,58.03,,,9.02,-41.41,8,2.996
"2023-03-07 07:12:05","2023-03-07 12:59:55.798",29.541152,34.947731,55.11,0.03206079,55.11,,,8.58,-40.97,9,2.426
"2023-03-07 07:12:06","2023-03-07 12:59:55.798",29.541150,34.947731,52.44,0.04258477,52.44,,,8.13,-40.57,9,2.113
"2023-03-07 07:12:07","2023-03-07 12:59:55.799",29.541147,34.947731,49.96,0.03316212,49.96,,,7.69,-40.13,11,1.901
"2023-03-07 07:12:08","2023-03-07 12:59:55.799",29.541145,34.947731,47.67,0.02751462,47.67,,,7.33,-39.84,11,1.747
"2023-03-07 07:12:08.8","2023-03-07 12:59:55.799",29.541143,34.947731,45.66,0.02342511,46.02,,,6.94,-39.46,11,1.645
"2023-03-07 07:12:10","2023-03-07 12:59:55.8",29.541141,34.947731,43.95,0.03095926,43.95,,,6.8,-39.2,12,1.524
"2023-03-07 07:12:11","2023-03-07 12:59:55.8",29.541140,34.947731,42.33,0.03614403,42.33,,,6.45,-39.04,12,1.445
"2023-03-07 07:12:12","2023-03-07 12:59:55.8",29.541139,34.947731,41.07,0.0309995,41.07,,,6.08,-38.93,13,1.381
"2023-03-07 07:12:12.9","2023-03-07 12:59:55.801",29.541138,34.947731,40.1,0.02772386,40.19,,,5.92,-38.87,13,1.325
"2023-03-07 07:12:14","2023-03-07 12:59:55.801",29.541138,34.947731,39.24,0.03253984,39.24,,,5.87,-38.86,13,1.269
"2023-03-07 07:12:15","2023-03-07 12:59:55.801",29.541137,34.947731,38.62,0.02905076,38.62,,,4.14,-38.4,12,1.23
"2023-03-07 07:12:16","2023-03-07 12:59:55.802",29.541137,34.947731,39.65,0.04466879,39.65,,,5.12,-38.52,14,1.205
"2023-03-07 07:12:17","2023-03-07 12:59:55.802",29.541137,34.947731,39.78,0.03582227,39.78,,,6.68,-38.31,13,1.174
"2023-03-07 07:12:18","2023-03-07 12:59:55.802",29.541137,34.947731,61.04,0.1033168,61.04,,,4.76,-31.86,13,1.163
"2023-03-07 07:12:19","2023-03-07 12:59:55.803",29.541137,34.947732,78.15,0.03038058,78.15,,,3.78,-33.38,14,1.148
"2023-03-07 07:12:20","2023-03-07 12:59:55.803",29.541137,34.947732,92.68,0.03473863,92.68,,,0.82,-37.49,14,1.136
"2023-03-07 07:12:21","2023-03-07 12:59:55.803",29.541137,34.947733,102.07,0.03834008,102.07,,,-2.14,-41.07,13,1.133
"2023-03-07 07:12:22","2023-03-07 12:59:55.804",29.541137,34.947733,108.81,0.06484728,108.81,,,-4.25,-43.39,13,1.134
"2023-03-07 07:12:23","2023-03-07 12:59:55.804",29.541137,34.947733,112.84,0.05400547,112.84,,,-5.25,-44.68,14,1.135
"2023-03-07 07:12:24","2023-03-07 12:59:55.804",29.541138,34.947732,110.78,0.03033562,110.78,,,-4.98,-45.55,14,1.128
