time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","GPS Satellites","GPS HAcc"
"2022-11-13 06:02:56.299","2022-11-13 09:13:11.542",32.489397,34.890256,88.5,0.04111936,88.5,,,-2.07,2.6,13,1.01
"2022-11-13 06:02:57.299","2022-11-13 09:13:11.543",32.489397,34.890256,88.44,0.03416388,88.44,,,-2.1,2.57,13,1.012
"2022-11-13 06:02:58.199","2022-11-13 09:13:11.543",32.489397,34.890256,88.46,0.02140461,88.45,,,-2.1,2.59,13,1.014
"2022-11-13 06:02:59.299","2022-11-13 09:13:11.544",32.489397,34.890256,88.5,0.02974081,88.5,,,-2.1,2.45,13,1.015
"2022-11-13 06:03:00.299","2022-11-13 09:13:11.544",32.489397,34.890256,88.16,0.03014622,88.16,,,-2.11,2.19,13,1.013
"2022-11-13 06:03:01.299","2022-11-13 09:13:11.544",32.489397,34.890256,87.86,0.03465486,87.86,,,-2.12,2.5,14,1.011
"2022-11-13 06:03:02.199","2022-11-13 09:13:11.545",32.489396,34.890256,88,0.04629288,87.96,,,11.07,10.53,14,1.001
"2022-11-13 06:03:03.299","2022-11-13 09:13:11.545",32.489396,34.890255,97.61,0.1551459,97.61,,,18.81,21.05,14,0.9888
"2022-11-13 06:03:04.299","2022-11-13 09:13:11.546",32.489396,34.890252,105.58,0.2931481,105.58,,,34.97,19.2,14,0.981
"2022-11-13 06:03:05.299","2022-11-13 09:13:11.546",32.489400,34.890251,88.92,0.3767711,88.92,,,16.45,17.24,14,0.9736
"2022-11-13 06:03:06.299","2022-11-13 09:13:11.546",32.489402,34.890254,47.76,0.3457814,47.76,,,9.66,21.94,14,0.9717
"2022-11-13 06:03:07.299","2022-11-13 09:13:11.547",32.489403,34.890255,59.39,0.2374063,59.39,,,13.37,24.56,15,0.9897
"2022-11-13 06:03:08.299","2022-11-13 09:13:11.547",32.489403,34.890255,76.37,0.09962407,76.37,,,12.55,23.21,15,1.024
"2022-11-13 06:03:09.299","2022-11-13 09:13:11.548",32.489402,34.890255,81.36,0.06931019,81.36,,,10.37,23.07,15,1.087
"2022-11-13 06:03:10.299","2022-11-13 09:13:11.548",32.489402,34.890255,82.4,0.07638384,82.4,,,1.75,19.96,15,1.146
"2022-11-13 06:03:11.299","2022-11-13 09:13:11.549",32.489402,34.890256,78.53,0.1028115,78.53,,,-0.26,18.26,15,1.129
"2022-11-13 06:03:12.299","2022-11-13 09:13:11.549",32.489403,34.890260,74.72,0.09519167,74.72,,,3.38,10.34,15,1.103
"2022-11-13 06:03:13.299","2022-11-13 09:13:11.549",32.489403,34.890261,100.2,0.2965403,100.2,,,-1.93,0.21,15,1.089
"2022-11-13 06:03:14.299","2022-11-13 09:13:11.55",32.489403,34.890263,103.45,0.05518318,103.45,,,-1.34,0.33,15,1.089
"2022-11-13 06:03:15.299","2022-11-13 09:13:11.55",32.489403,34.890263,103.48,0.07783863,103.48,,,1.18,0.78,15,1.099
"2022-11-13 06:03:16.299","2022-11-13 09:13:11.55",32.489405,34.890262,123.48,0.2137271,123.48,,,39.89,28.11,15,1.114
"2022-11-13 06:03:17.299","2022-11-13 09:13:11.551",32.489405,34.890269,127.95,0.3921483,127.95,,,38.72,56.95,15,1.135
"2022-11-13 06:03:18.299","2022-11-13 09:13:11.551",32.489406,34.890272,32.69,0.5640079,87.32,,,24.32,72.07,15,1.146
"2022-11-13 06:03:19.299","2022-11-13 09:13:11.551",32.489407,34.890273,72.37,0.2678612,72.37,,,2.96,58.65,15,1.149
"2022-11-13 06:03:20.299","2022-11-13 09:13:11.551",32.489407,34.890275,33.76,0.09515507,33.76,,,-9.44,65.29,14,1.167
"2022-11-13 06:03:21.299","2022-11-13 09:13:11.552",32.489408,34.890275,29.37,0.07289027,29.37,,,-7.48,74.7,13,1.189
"2022-11-13 06:03:22.299","2022-11-13 09:13:11.552",32.489408,34.890276,29.86,0.07974283,29.86,,,-12.58,66.54,14,1.215
"2022-11-13 06:03:23.299","2022-11-13 09:13:11.552",32.489408,34.890276,27.57,0.1069471,27.57,,,-7.61,66.83,14,1.243
"2022-11-13 06:03:24.299","2022-11-13 09:13:11.553",32.489408,34.890276,22.03,0.130677,22.03,,,30.84,100.58,14,1.272
"2022-11-13 06:03:25.299","2022-11-13 09:13:11.553",32.489409,34.890274,24.5,0.07947139,24.5,,,-5.13,81,13,1.285
