time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","Time to Gun","GPS Satellites","GPS HAcc"
"2022-11-19 09:02:04.599","2022-11-21 06:05:24.865",29.548777,34.961709,129.07,0.0652432,129.07,,,-2.55,1.27,299.5,10,9.734
"2022-11-19 09:02:05.499","2022-11-21 06:05:24.866",29.548777,34.961721,129.61,0.1191982,129.48,,,-2.07,0.32,298.6,10,9.305
"2022-11-19 09:02:06.599","2022-11-21 06:05:24.867",29.548786,34.961732,131.07,0.2692641,131.07,,,-1.67,0.24,297.5,9,9.539
"2022-11-19 09:02:07.599","2022-11-21 06:05:24.867",29.548799,34.961744,133.69,0.389907,133.69,,,-1.38,0.27,296.5,11,10.16
"2022-11-19 09:02:08.599","2022-11-21 06:05:24.868",29.548810,34.961743,135.83,0.3324619,135.83,,,-2.18,1.09,295.5,11,14.23
"2022-11-19 09:02:09.599","2022-11-21 06:05:24.868",29.548826,34.961749,135.22,0.3874105,135.22,,,-1.4,1.32,294.5,11,12.11
"2022-11-19 09:02:10.599","2022-11-21 06:05:24.869",29.548836,34.961747,133.56,0.2972013,133.56,,,-3.52,2.44,293.5,12,13.96
"2022-11-19 09:02:11.599","2022-11-21 06:05:24.869",29.548838,34.961739,138.57,0.3055941,138.57,,,-4.65,1.53,292.5,10,11.95
"2022-11-19 09:02:12.599","2022-11-21 06:05:24.87",29.548836,34.961729,133.61,0.2577491,133.61,,,-5.71,1.76,291.5,10,11.8
"2022-11-19 09:02:13.599","2022-11-21 06:05:24.87",29.548833,34.961710,123.8,0.2034461,123.8,,,-3.63,1.25,290.5,10,11.79
"2022-11-19 09:02:14.599","2022-11-21 06:05:24.871",29.548847,34.961707,118.64,0.17602,118.64,,,-1.63,1.33,289.5,9,4.352
"2022-11-19 09:02:15.599","2022-11-21 06:05:24.871",29.548857,34.961696,118.88,0.1879076,118.88,,,-5.43,3.64,288.5,10,3.264
"2022-11-19 09:02:16.599","2022-11-21 06:05:24.872",29.548857,34.961699,125.28,0.2260613,125.28,,,-3.47,6.64,287.5,8,2.98
"2022-11-19 09:02:17.599","2022-11-21 06:05:24.872",29.548853,34.961704,158.38,0.4810112,158.38,,,0.9,7.99,286.5,9,2.953
"2022-11-19 09:02:18.599","2022-11-21 06:05:24.873",29.548850,34.961706,173.4,0.3937502,173.4,,,-0.24,5.82,285.5,7,2.826
"2022-11-19 09:02:19.599","2022-11-21 06:05:24.873",29.548845,34.961708,181.64,0.3668957,181.64,,,3.12,6.08,284.5,9,2.701
"2022-11-19 09:02:20.599","2022-11-21 06:05:24.873",29.548843,34.961709,190.29,0.470429,190.29,,,-2.24,3.68,283.5,8,2.6
"2022-11-19 09:02:21.599","2022-11-21 06:05:24.874",29.548837,34.961710,206.07,0.5302631,160.08,,,-1.11,1.99,282.5,11,2.445
"2022-11-19 09:02:22.599","2022-11-21 06:05:24.874",29.548828,34.961713,220.69,0.512336,220.69,,,3.87,4.21,281.5,10,2.299
"2022-11-19 09:02:23.599","2022-11-21 06:05:24.874",29.548820,34.961709,228.57,0.6427847,217.96,,,4.97,3.89,280.5,10,2.16
"2022-11-19 09:02:24.599","2022-11-21 06:05:24.875",29.548810,34.961707,233.28,0.5503232,232.28,,,1.24,4.32,279.5,11,2.217
"2022-11-19 09:02:25.599","2022-11-21 06:05:24.875",29.548802,34.961700,234.33,0.7623308,226.13,,,6.89,2.93,278.5,12,1.963
"2022-11-19 09:02:26.599","2022-11-21 06:05:24.876",29.548793,34.961691,230.15,0.9508997,230.97,,,7.46,3.7,277.5,12,1.89
"2022-11-19 09:02:27.599","2022-11-21 06:05:24.876",29.548782,34.961680,223.79,1.283038,232.35,,,7.49,3.61,276.5,11,1.823
"2022-11-19 09:02:28.599","2022-11-21 06:05:24.877",29.548771,34.961668,222.44,1.327405,228.82,,,5.32,3.61,275.5,10,1.759
"2022-11-19 09:02:29.599","2022-11-21 06:05:24.877",29.548761,34.961657,221.56,1.340568,230.99,,,7.6,2.87,274.5,12,1.709
"2022-11-19 09:02:30.599","2022-11-21 06:05:24.877",29.548751,34.961649,219.25,1.401947,230.86,,,8.47,3.1,273.5,11,1.67
"2022-11-19 09:02:31.599","2022-11-21 06:05:24.878",29.548742,34.961641,216.03,1.49528,227.82,,,9.21,2.42,272.5,10,1.635
"2022-11-19 09:02:32.599","2022-11-21 06:05:24.878",29.548733,34.961633,216.53,1.34806,224.06,,,-0.69,1.11,271.5,13,1.594
