time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","GPS Satellites","GPS HAcc"
"2022-12-19 05:17:26.699","2022-12-19 05:17:26.699",32.489409,34.890309,56.22,0.04529414,56.35,,,-13.48,-64.28,15,1.281
"2022-12-19 05:17:27.699","2022-12-19 05:17:27.699",32.489408,34.890310,53.74,0.03263863,53.8,,,-3.48,-55.49,14,1.264
"2022-12-19 05:17:28.699","2022-12-19 05:17:28.699",32.489406,34.890312,60.98,0.03339268,59.68,,,7.38,-52.29,16,1.234
"2022-12-19 05:17:29.699","2022-12-19 05:17:29.699",32.489405,34.890314,73.49,0.1440762,73.02,,,6.84,-56.65,16,1.224
"2022-12-19 05:17:30.699","2022-12-19 05:17:30.699",32.489405,34.890316,76.03,0.05595819,75.9,,,7.28,-56.27,15,1.216
"2022-12-19 05:17:31.699","2022-12-19 05:17:31.699",32.489404,34.890318,77.48,0.05091229,77.34,,,5.99,-55.23,16,1.205
"2022-12-19 05:17:32.699","2022-12-19 05:17:32.699",32.489404,34.890320,76.65,0.08551189,76.85,,,5.65,-54.69,15,1.2
"2022-12-19 05:17:33.699","2022-12-19 05:17:33.699",32.489403,34.890321,76.16,0.05165555,76.08,,,6.15,-54.32,15,1.194
"2022-12-19 05:17:34.699","2022-12-19 05:17:34.699",32.489402,34.890322,77.02,0.03246883,76.9,,,8.84,-55.99,13,1.189
"2022-12-19 05:17:35.699","2022-12-19 05:17:35.699",32.489401,34.890324,79.01,0.0817364,78.98,,,8.76,-56.11,15,1.187
"2022-12-19 05:17:36.699","2022-12-19 05:17:36.699",32.489400,34.890325,77.6,0.03437562,77.59,,,1.55,-55.39,14,1.184
"2022-12-19 05:17:37.699","2022-12-19 05:17:37.699",32.489399,34.890326,71.26,0.05702919,72.46,,,4.98,-46.57,15,1.181
"2022-12-19 05:17:38.699","2022-12-19 05:17:38.699",32.489397,34.890329,77.15,0.07147485,75.76,,,5.42,-54.46,14,1.176
"2022-12-19 05:17:39.699","2022-12-19 05:17:39.699",32.489395,34.890332,71.8,0.09927876,72.87,,,-5.04,-56.92,15,1.173
"2022-12-19 05:17:40.499","2022-12-19 05:17:40.499",32.489393,34.890335,77.47,0.1072948,73.34,,,9.34,-57.86,14,1.168
"2022-12-19 05:17:41.699","2022-12-19 05:17:41.699",32.489390,34.890340,81.03,0.04830506,81.5,,,7.59,-55.81,15,1.159
