time,latitude,longitude,speed,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground",Heel,"Trim Fore / Aft","Time to Gun","GPS Satellites","GPS HAcc"
"2022-08-17 08:33:49.599",29.513434,34.926427,0.0402487,79.2,0.04024874,79.2,17.47,-36.03,,15,0.8369
"2022-08-17 08:33:50.599",29.513434,34.926427,0.0419956,79.22,0.04199562,79.22,17.49,-36.01,,14,0.8389
"2022-08-17 08:33:51.599",29.513434,34.926427,0.0253839,79.19,0.0253839,79.19,17.39,-36.04,,15,0.8389
"2022-08-17 08:33:52.499",29.513434,34.926427,0.0231657,79.05,0.02316566,79.07,17.4,-36.05,,16,0.8379
"2022-08-17 08:33:53.599",29.513434,34.926426,0.025885,78.77,0.02588504,78.77,17.46,-36.05,,14,0.8389
"2022-08-17 08:33:54.599",29.513434,34.926426,0.0363068,78.6,0.03630678,78.6,17.46,-36.04,,15,0.8428
"2022-08-17 08:33:55.599",29.513434,34.926426,0.0312516,78.48,0.03125163,78.48,17.47,-36.03,,15,0.8457
"2022-08-17 08:33:56.599",29.513433,34.926426,0.019086,78.54,0.01908597,78.54,17.48,-36.04,,16,0.8467
"2022-08-17 08:33:57.599",29.513433,34.926425,0.0269084,78.65,0.02690839,78.65,17.49,-36.04,,16,0.8467
"2022-08-17 08:33:58.599",29.513433,34.926425,0.0331314,78.68,0.03313143,78.68,17.51,-36.03,,15,0.8467
"2022-08-17 08:33:59.599",29.513433,34.926425,0.0175419,78.63,0.01754186,78.63,17.55,-36,,15,0.8457
"2022-08-17 08:34:00.599",29.513433,34.926424,0.0294622,78.36,0.02946224,78.36,17.62,-35.99,,16,0.8447
"2022-08-17 08:34:01.599",29.513433,34.926424,0.048048,78.31,0.04804795,78.31,17.68,-35.96,,16,0.8428
"2022-08-17 08:34:02.599",29.513433,34.926424,0.0314304,78.54,0.03143042,78.54,17.71,-35.95,,15,0.8408
"2022-08-17 08:34:03.599",29.513433,34.926424,0.0390247,78.6,0.03902475,78.6,17.74,-35.96,,14,0.8418
"2022-08-17 08:34:04.599",29.513434,34.926423,0.0358389,78.55,0.03583894,78.55,17.79,-35.97,,16,0.8418
"2022-08-17 08:34:05.599",29.513433,34.926423,0.0343254,78.47,0.03432539,78.47,17.78,-35.98,,15,0.8438
"2022-08-17 08:34:06.599",29.513433,34.926423,0.0388929,78.41,0.03889289,78.41,17.8,-35.99,,15,0.8438
"2022-08-17 08:34:07.599",29.513434,34.926423,0.0372279,78.12,0.03722791,78.12,17.8,-35.96,,15,0.8438
"2022-08-17 08:34:08.599",29.513434,34.926423,0.0322276,78.2,0.03222764,78.2,17.88,-35.95,,16,0.8438
"2022-08-17 08:34:09.599",29.513434,34.926423,0.0397363,78.91,0.03973632,78.91,17.83,-35.96,,15,0.8428
"2022-08-17 08:34:10.599",29.513434,34.926423,0.0420766,79.19,0.04207659,79.19,17.85,-35.94,,15,0.8438
"2022-08-17 08:34:11.599",29.513434,34.926423,0.0327482,79.05,0.03274821,79.05,17.91,-35.94,,15,0.8447
"2022-08-17 08:34:12.599",29.513434,34.926423,0.0301234,78.86,0.03012339,78.86,17.95,-35.94,,15,0.8447
"2022-08-17 08:34:13.599",29.513434,34.926423,0.0163967,78.79,0.01639671,78.79,17.97,-35.93,,15,0.8457
"2022-08-17 08:34:14.599",29.513435,34.926423,0.0208118,78.68,0.02081177,78.68,18.1,-35.92,,16,0.8477
"2022-08-17 08:34:15.599",29.513435,34.926422,0.0270125,78.49,0.02701248,78.49,17.81,-35.96,,15,0.8486
"2022-08-17 08:34:16.599",29.513435,34.926422,0.019293,78.46,0.019293,78.46,17.72,-35.97,,15,0.8467
"2022-08-17 08:34:17.599",29.513435,34.926422,0.0333893,78.47,0.03338933,78.47,18.19,-35.86,,16,0.8457
"2022-08-17 08:34:18.599",29.513435,34.926422,0.0453763,78.58,0.04537631,78.58,18.02,-35.93,,15,0.8447
"2022-08-17 08:34:19.599",29.513435,34.926422,0.0434672,78.28,0.04346723,78.28,18.25,-35.87,,14,0.8486
"2022-08-17 08:34:20.599",29.513435,34.926422,0.028245,77.64,0.02824498,77.64,18.37,-35.89,,15,0.8535
"2022-08-17 08:34:21.599",29.513435,34.926422,0.0366448,77.63,0.03664475,77.63,18.61,-35.84,,15,0.855
"2022-08-17 08:34:22.599",29.513435,34.926421,0.02859,77.37,0.02859002,77.37,18.8,-35.78,,15,0.8569
"2022-08-17 08:34:23.599",29.513435,34.926421,0.0488068,77.13,0.04880677,77.13,18.81,-35.75,,15,0.8569
"2022-08-17 08:34:24.599",29.513435,34.926421,0.0236452,77.54,0.0236452,77.54,18.8,-35.74,,14,0.8579
