start,end,ido seconds,ido data points,up/down,side,yoav on top,ido on top,ido speed,yoavc speed,yoav c speed new,ido heading,yoavc heading,ido vmg,yoavc vmg,,,,,,,,,
Tue 7 Mar 2023 10:36:16,Tue 7 Mar 2023 10:36:55,39,14,DOWN,Right,,,26.6,,,288.7,,-19.9,,,,,,,,,,
Tue 7 Mar 2023 10:36:55,Tue 7 Mar 2023 10:38:10,75,28,DOWN,Left,,,24.7,,,202.3,,-19.6,,,,,,,,,,
Tue 7 Mar 2023 10:38:10,Tue 7 Mar 2023 10:39:38,88,35,UP,Right,,,19.9,,,203,,2.3,,,,,,,,,,
Tue 7 Mar 2023 10:39:38,Tue 7 Mar 2023 10:41:27,109,33,UP,Left,,,18.2,,,132.7,,6.4,,,,,,,,,,
Tue 7 Mar 2023 10:41:27,Tue 7 Mar 2023 10:41:29,2,3,DOWN,Right,,,17.1,,,166.3,,-4.7,,,,,,,,,,
Tue 7 Mar 2023 10:42:47,Tue 7 Mar 2023 10:45:18,151,54,DOWN,Right,,,22.4,,,297.2,,-11.2,,,,,,,,,,
Tue 7 Mar 2023 10:45:18,Tue 7 Mar 2023 10:46:59,101,36,DOWN,Left,32.3,67.7,22,24.2,24.2,204.7,235.6,-16.9,-18.1,,,,,,,,,
Tue 7 Mar 2023 10:47:28,Tue 7 Mar 2023 10:47:56,28,9,DOWN,Left,69.,31.,11.9,13.7,13.7,230.8,95.7,-9.7,2.3,,,,,,,,,
Tue 7 Mar 2023 10:47:56,Tue 7 Mar 2023 10:49:42,106,29,UP,Right,41.1,58.9,17.9,18,18.,14.4,68.7,9.2,10.7,,,,,,,,,
Tue 7 Mar 2023 10:50:28,Tue 7 Mar 2023 10:53:32,184,52,UP,Left,48.1,51.9,16.4,17,17.,142.2,318.5,1.3,8.1,,,,,,,,,
Tue 7 Mar 2023 10:55:09,Tue 7 Mar 2023 10:56:52,103,27,UP,Right,61.5,38.5,18,18.3,18.3,8.2,78.9,9,8.7,,,,,,,,,
Tue 7 Mar 2023 10:56:52,Tue 7 Mar 2023 10:58:10,78,27,UP,Left,81.,19.,18.3,19.2,19.2,137.5,308.8,4.9,8.4,,,,,,,,,
